,Model,PitchGroup,Cluster,GlobalMean
118,R,1.0,18,-0.009984143795173348
119,R,1.0,19,-0.005751534896991432
120,R,1.0,20,0.0367015814727024
121,R,1.0,21,0.035477793457411144
122,R,1.0,22,-0.007152110354506043
123,R,1.0,23,-0.0035480640195865807
124,R,1.0,24,-0.0024943461056888844
125,R,2.0,0,-0.005095430422638071
126,R,2.0,1,-0.021271037051625093
127,R,2.0,2,0.029240151078578153
128,R,2.0,3,0.03860264457743068
129,R,2.0,4,-0.006999116929898864
130,R,2.0,5,-0.009927470994724581
131,R,2.0,6,0.00480662451062426
132,R,2.0,7,0.0038902665034287786
133,R,2.0,8,-0.005415003187147698
134,R,2.0,9,-0.01695350681433275
135,R,2.0,10,0.035538086491341304
136,R,2.0,11,-0.0022300310807007694
137,R,2.0,12,0.028609821669075546
138,R,2.0,13,0.05006236364586342
139,R,2.0,14,0.005039250665599346
140,R,2.0,15,-0.01864216533994927
141,R,2.0,16,0.03159749106691741
142,R,2.0,17,-0.011239038829368372
143,R,2.0,18,0.02045377211002617
144,R,2.0,19,-0.0016352153573287714
145,R,2.0,20,-0.009343349820031216
146,R,2.0,21,-0.008940169253098996
147,R,2.0,22,0.0123051751250103
148,R,2.0,23,0.02925150216622222
149,R,2.0,24,-0.010314388175113222
